mmsi,lat,lon,speed,course,timestamp
0,50.37453,-4.141407,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
232002652,50.358603,-4.157983,8.4,231.6,
0,50.374528,-4.141408,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
0,50.374528,-4.141408,0.0,360.0,
235038812,50.31997,-4.132978,8.1,186.1,
232002652,50.358603,-4.157983,8.5,231.7,
232028284,50.362473,-4.12522,6.8,122.2,
232028284,50.362472,-4.12522,6.8,122.2,
232056337,50.359457,-4.117702,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
0,50.374525,-4.141412,0.0,360.0,
